"Path","OriginalLine","ConnectionId","Context"
"views/gameimagesextract/windowgameimageextract.xaml","104","1",""
"views/gmtool/gmtoolmain.xaml","16","1",""
"views/gmtool/gmtoolmain.xaml","111","2",""
"views/gmtool/gmtoolmain.xaml","154","3",""
"views/gmtool/gmtoolmain.xaml","292","5",""
"views/gmtool/gmtoolmain.xaml","424","4",""
"views/gmtool/gmtooloutputcontrol.xaml","18","1",""
"views/importviews/importfilesoptionsdialog.xaml","10","2",""
"views/importviews/importfilesoptionsdialog.xaml","24","3",""
"views/importviews/importfilesoptionsdialog.xaml","27","4",""
"views/importviews/importfilesoptionsdialog.xaml","30","5",""
"views/importviews/importfilesoptionsdialog.xaml","34","1",""
"views/importviews/viewimportfilespanel.xaml","27","3",""
"views/importviews/viewimportfilespanel.xaml","69","5",""
"views/importviews/viewimportfilespanel.xaml","109","7",""
"views/importviews/viewimportfilespanel.xaml","128","2",""
"views/importviews/viewimportfilespanel.xaml","130","1",""
"views/independent_drop/viewadditemcodearray.xaml","31","1",""
"views/independent_drop/viewdropselectitemcodes.xaml","88","3",""
"views/independent_drop/viewdropselectitemcodes.xaml","90","2",""
"views/independent_drop/viewdropselectitemcodes.xaml","97","1",""
"views/independent_drop/viewindependent_drop.xaml","53","4",""
"views/independent_drop/viewindependent_drop.xaml","178","5",""
"views/independent_drop/viewindependent_drop.xaml","257","6",""
"views/independent_drop/viewindependent_drop.xaml","361","7",""
"views/independent_drop/viewindependent_drop.xaml","419","8",""
"views/independent_drop/viewindependent_drop.xaml","493","3",""
"views/independent_drop/viewindependent_drop.xaml","495","2",""
"views/independent_drop/viewindependent_drop.xaml","497","1",""
"views/lsttools/winlsttools.xaml","110","2",""
"views/lsttools/winlsttools.xaml","112","1",""
"views/macro/macrotreeview.xaml","33","1",""
"views/macro/macrotreeview.xaml","46","3",""
"views/macro/macrotreeview.xaml","49","4",""
"views/macro/macrotreeview.xaml","60","2",""
"views/macro/windoweditmarconame.xaml","9","2",""
"views/macro/windoweditmarconame.xaml","13","3",""
"views/macro/windoweditmarconame.xaml","16","4",""
"views/macro/windoweditmarconame.xaml","20","1",""
"views/macro/windowmacrotool.xaml","24","1",""
"views/macro/windowsavemacrodata.xaml","11","1",""
"views/macro/windowsavemacrodata.xaml","20","3",""
"views/macro/windowsavemacrodata.xaml","22","2",""
"views/macro/windowsavemacrodata.xaml","48","4",""
"views/macro/windowsavemacrodata.xaml","51","5",""
"views/macro/windowsavemacrodata.xaml","54","6",""
"views/npcshopeditor/npcshopitemlistcontrolex.xaml","93","1",""
"views/npcshopeditor/winnpcshopeditor.xaml","256","3",""
"views/npcshopeditor/winnpcshopeditor.xaml","263","4",""
"views/npcshopeditor/winnpcshopeditor.xaml","299","5",""
"views/npcshopeditor/winnpcshopeditor.xaml","385","2",""
"views/npcshopeditor/winnpcshopeditor.xaml","387","1",""
"views/preview/controls/npcshopgridcontrolex.xaml","105","2",""
"views/preview/controls/npcshopgridcontrolex.xaml","108","1",""
"views/preview/controls/pvfitemavatarlistboxgroupcontrol.xaml","145","2",""
"views/preview/controls/pvfitemavatarlistboxgroupcontrol.xaml","150","3",""
"views/preview/controls/pvfitemavatarlistboxgroupcontrol.xaml","153","1",""
"views/pvftreefolder/createshopitem.xaml","36","1",""
"views/pvftreefolder/viewaddnewfolder.xaml","17","2",""
"views/pvftreefolder/viewaddnewfolder.xaml","21","3",""
"views/pvftreefolder/viewaddnewfolder.xaml","26","1",""
"views/pvftreefolder/viewedittreecomment.xaml","14","1",""
"views/pvftreefolder/viewopenpvffiledocument.xaml","10","2",""
"views/pvftreefolder/viewopenpvffiledocument.xaml","13","3",""
"views/pvftreefolder/viewopenpvffiledocument.xaml","17","4",""
"views/pvftreefolder/viewopenpvffiledocument.xaml","20","5",""
"views/pvftreefolder/viewopenpvffiledocument.xaml","24","1",""
"views/pvftreefolder/viewrenamenode.xaml","18","2",""
"views/pvftreefolder/viewrenamenode.xaml","25","1",""
"views/pvftreefolder/viewrenmaenodes.xaml","65","3",""
"views/pvftreefolder/viewrenmaenodes.xaml","94","4",""
"views/pvftreefolder/viewrenmaenodes.xaml","97","2",""
"views/pvftreefolder/viewrenmaenodes.xaml","105","1",""
"views/pvftreefolder/winaddnewpvffile.xaml","13","2",""
"views/pvftreefolder/winaddnewpvffile.xaml","18","3",""
"views/pvftreefolder/winaddnewpvffile.xaml","22","4",""
"views/pvftreefolder/winaddnewpvffile.xaml","25","5",""
"views/pvftreefolder/winaddnewpvffile.xaml","28","6",""
